sales_person,country,product,date,amount,boxes_shipped
sp157,Italy,Avène Cleanance Expert Emulsion 30ml,2023-12-24,1177.84,28
sp71,France,Skinceuticals Metacell Renewal B3 100ml,2022-11-20,7862.09,94
sp76,Indonesia,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 20ml,2023-11-13,23184.96,486
sp64,India,Drunk Elephant Virgin Marula Luxury Face Oil 250ml,2020-02-29,1944.9,92
sp23,Italy,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 56.7g,2022-06-24,6457.8,109
sp163,Germany,La Roche-Posay Anthelios Invisible Fluid SPF50+ 340g,2022-06-09,7005.01,74
sp146,United States,CeraVe Healing Ointment 100ml,2021-05-12,4437.33,77
sp13,China,Tatcha The Eye Concentrate 20ml,2023-11-06,21214.48,428
sp56,Brazil,Kiehl's Midnight Recovery Concentrate 200ml,2020-04-22,1132.36,36
sp36,Brazil,Pixi Glow Tonic 30ml,2023-10-29,3059.25,210
sp156,Mexico,CeraVe Healing Ointment 150ml,2023-07-17,1367.54,64
sp77,Chile,Avène Cicalfate+ Restorative Protective Cream 250ml,2021-10-17,27267.91,339
sp170,Japan,Tatcha The Water Cream 30ml,2024-01-27,4709.21,125
sp193,Philippines,La Roche-Posay Anthelios Invisible Fluid SPF50+ 50ml,2021-08-05,12314.93,122
sp40,Thailand,REN Clean Skincare Perfect Canvas Clean Primer 30g,2020-08-19,12533.74,106
sp148,Poland,COSRX AHA/BHA Clarifying Treatment Toner 56.7g,2024-01-18,11192.04,104
sp111,Singapore,Tatcha The Rice Polish Foaming Enzyme Powder 15ml,2024-07-27,1442.98,40
sp116,South Korea,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 30ml,2022-01-29,4622.62,81
sp165,Poland,Murad Vita-C Glycolic Brightening Serum 200ml,2021-09-24,9340.03,137
sp35,India,First Aid Beauty Pure Skin Face Cleanser 125ml,2024-09-20,3470.76,42
sp20,Italy,The Ordinary Niacinamide 10% + Zinc 1% 100ml,2020-08-01,16425.88,385
sp163,Spain,Drunk Elephant Virgin Marula Luxury Face Oil 20ml,2021-10-17,6680.4,117
sp6,Poland,Sunday Riley Luna Sleeping Night Oil 20ml,2020-05-17,4294.65,44
sp138,France,The Ordinary Salicylic Acid 2% Solution 250ml,2022-07-04,1799.7,88
sp106,Argentina,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 125ml,2023-10-24,3371.15,99
sp11,Brazil,Olay Regenerist Micro-Sculpting Cream 15ml,2024-09-13,621.86,21
sp171,Spain,Kiehl's Powerful-Strength Line-Reducing Concentrate 56.7g,2021-09-12,3079.81,39
sp170,Canada,The Ordinary Glycolic Acid 7% Toning Solution 150ml,2020-04-29,2808.5,46
sp173,Canada,Olay Retinol24 Night Moisturizer 75ml,2022-06-14,7382.84,335
sp140,Argentina,Tatcha The Water Cream 40ml,2021-12-30,2118.58,115
sp55,Canada,Bioderma Nodé Detox Shampoo 60ml,2024-09-28,10161.25,146
sp34,Argentina,Murad Hydro-Dynamic Ultimate Moisture 125ml,2022-11-19,12299.74,120
sp120,Japan,Drunk Elephant B-Hydra Intensive Hydration Serum 125ml,2022-09-24,11342.29,146
sp94,Poland,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 60ml,2023-03-08,12192.95,124
sp129,Indonesia,Skinceuticals C E Ferulic Serum 75ml,2024-07-08,8477.25,72
sp198,Japan,Kiehl's Midnight Recovery Concentrate 250ml,2024-10-02,2967.07,99
sp84,Indonesia,Tatcha The Water Cream 60ml,2020-03-16,3190.97,162
sp88,China,Avène Cicalfate+ Restorative Protective Cream 125ml,2024-10-25,1662.78,376
sp17,Thailand,COSRX Advanced Snail 96 Mucin Power Essence 100ml,2023-04-09,14335.59,467
sp6,France,Kiehl's Ultra Facial Cream 20ml,2022-01-01,9697.77,122
sp200,Germany,Avène XeraCalm A.D Lipid-Replenishing Cream 340g,2020-12-08,10241.1,111
sp128,South Korea,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 50ml,2023-01-05,1192.69,21
sp23,United States,Murad Brightening Booster 15ml,2024-03-11,8320.59,251
sp33,Canada,Skinceuticals C E Ferulic Serum 150ml,2024-04-25,14435.41,461
sp63,India,Bioderma Atoderm Intensive Baume 125ml,2023-02-16,20653.04,306
sp152,Spain,CeraVe Eye Repair Cream 56.7g,2020-12-25,2718.46,29
sp45,Poland,Tatcha The Indigo Overnight Repair Treatment 250ml,2021-08-04,2969.28,59
sp152,Sweden,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 30ml,2021-07-29,1355.5,20
sp49,Thailand,Pixi Vitamin-C Juice Cleanser 20ml,2020-07-10,19870.84,279
sp35,Colombia,Olay Total Effects 7-in-1 Moisturiser 200ml,2022-12-06,3951.21,56
sp134,India,COSRX Oil-Free Ultra-Moisturizing Lotion 75ml,2024-11-02,2494.5,49
sp29,Thailand,First Aid Beauty Ultra Repair Cream 30g,2024-07-14,7678.97,273
sp66,Singapore,Drunk Elephant C-Firma Fresh Day Serum 100ml,2023-12-18,584.89,29
sp181,Spain,Pixi Retinol Tonic 20ml,2020-05-28,37267.72,425
sp28,Brazil,Tatcha The Water Cream 20ml,2022-12-27,1175.89,44
sp152,Singapore,REN Clean Skincare Perfect Canvas Clean Primer 200ml,2020-04-29,4737.45,53
sp124,United Kingdom,Avène Cleanance Expert Emulsion 50ml,2023-09-17,552.98,131
sp27,Indonesia,Skinceuticals A.G.E. Eye Complex 125ml,2022-07-18,4031.66,65
sp95,Chile,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 340g,2024-09-26,13719.7,123
sp13,France,Pixi Rose Ceramide Cream 75ml,2022-01-26,14170.26,130
sp96,Thailand,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 60ml,2021-08-09,19796.17,318
sp179,Canada,La Roche-Posay Toleriane Hydrating Gentle Cleanser 100ml,2020-11-15,4756.85,241
sp35,Canada,Pixi Vitamin-C Juice Cleanser 75ml,2023-01-20,4401.49,290
sp102,Canada,Drunk Elephant C-Firma Fresh Day Serum 200ml,2024-04-09,2997.72,81
sp138,United States,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 150ml,2023-03-20,6419.2,109
sp68,China,Murad Retinol Youth Renewal Serum 60ml,2021-05-15,6890.49,94
sp70,India,Drunk Elephant Virgin Marula Luxury Face Oil 60ml,2020-11-14,2602.1,23
sp57,Japan,Bioderma Sensibio Light Soothing Cream 56.7g,2022-04-08,1437.48,31
sp80,United States,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 150ml,2022-07-05,2127.46,33
sp37,Sweden,COSRX Ultimate Moisturizing Honey Overnight Mask 20ml,2022-11-14,3845.59,47
sp81,France,Kiehl's Rare Earth Deep Pore Cleansing Masque 200ml,2020-08-02,1664.85,18
sp89,India,Avène Retrinal+ 0.1 Intensive Cream 125ml,2023-10-07,7953.47,77
sp98,South Korea,Kiehl's Clearly Corrective Dark Spot Solution 250ml,2021-06-18,20121.27,345
sp154,Mexico,La Roche-Posay Toleriane Double Repair Moisturiser 75ml,2023-06-15,6856.07,61
sp83,France,Bioderma Sensibio H2O Micellar Water 30ml,2023-12-07,490.01,14
sp46,United Kingdom,La Roche-Posay Toleriane Double Repair Moisturiser 200ml,2023-06-29,33366.55,392
sp165,Mexico,Skinceuticals Metacell Renewal B3 75ml,2022-06-15,1467.88,21
sp118,Colombia,The Ordinary Natural Moisturising Factors + HA 15ml,2020-02-13,18111.76,284
sp71,Mexico,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 30ml,2023-12-28,1198.46,228
sp68,Mexico,Clinique All About Eyes Rich 30g,2023-08-03,9877.01,122
sp15,Brazil,La Roche-Posay Retinol B3 Serum 125ml,2023-06-07,1056.34,22
sp153,Spain,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 50ml,2020-12-10,734.45,10
sp79,Canada,Kiehl's Clearly Corrective Dark Spot Solution 150ml,2023-06-30,6978.73,73
sp154,Mexico,La Roche-Posay Cicaplast Baume B5 15ml,2022-06-22,18473.56,267
sp109,Singapore,Murad Vita-C Glycolic Brightening Serum 15ml,2022-05-30,2168.49,144
sp151,Sweden,La Roche-Posay Effaclar Mat Moisturiser 30g,2024-03-07,13374.79,384
sp139,Philippines,Neutrogena Norwegian Formula Face Cream 60ml,2021-08-20,184.69,25
sp123,Germany,Avène Retrinal+ 0.1 Intensive Cream 125ml,2020-02-21,1215.09,136
sp116,Canada,COSRX Full Fit Propolis Light Cream 150ml,2023-07-08,26549.03,263
sp65,United States,Murad Retinol Youth Renewal Serum 15ml,2024-06-24,2720.2,109
sp7,United Kingdom,La Roche-Posay Retinol B3 Serum 200ml,2020-02-01,5204.85,120
sp54,Sweden,Skinceuticals Phyto Corrective Gel 15ml,2020-02-25,2144.16,48
sp137,Chile,CeraVe Moisturising Cream 20ml,2022-12-14,1053.63,44
sp42,Germany,Olay Regenerist Micro-Sculpting Cream 60ml,2020-02-22,22888.75,207
sp32,Chile,Neutrogena Cellular Boost Concentrate Serum 200ml,2022-01-08,8115.13,90
sp50,Thailand,Kiehl's Midnight Recovery Concentrate 50ml,2024-02-01,10029.34,106
sp123,Sweden,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 75ml,2020-12-08,1630.24,33
sp178,Mexico,Kiehl's Calendula Serum-Infused Water Cream 250ml,2020-06-20,2437.95,78
sp51,Brazil,Kiehl's Midnight Recovery Concentrate 125ml,2021-09-13,1787.26,235
sp6,Thailand,Olay Super Serum 5-in-1 200ml,2021-02-23,1638.04,138
sp119,Chile,CeraVe Moisturising Cream 200ml,2022-08-24,10776.59,102
sp158,United Kingdom,Bioderma Nodé Detox Shampoo 30g,2023-12-12,1584.27,45
sp38,Singapore,Drunk Elephant F-Balm Electrolyte Waterbalm 250ml,2024-03-15,13764.86,224
sp20,Japan,Kiehl's Creamy Eye Treatment with Avocado 75ml,2023-03-07,4657.01,75
sp160,Singapore,Skinceuticals Metacell Renewal B3 340g,2020-01-20,136.34,18
sp137,Chile,Sunday Riley UFO Ultra-Clarifying Face Oil 60ml,2020-05-06,13449.51,143
sp86,Singapore,La Roche-Posay Toleriane Hydrating Gentle Cleanser 30ml,2020-12-26,2714.1,24
sp91,Sweden,Drunk Elephant Virgin Marula Luxury Face Oil 125ml,2020-10-31,3209.93,75
sp170,Philippines,Avène Antirougeurs Jour Redness Relief Cream 125ml,2024-04-01,2456.45,121
sp105,Philippines,First Aid Beauty Pure Skin Face Cleanser 60ml,2021-12-24,3474.39,148
sp122,Colombia,Tatcha The Indigo Overnight Repair Treatment 60ml,2022-10-18,3250.79,127
sp73,China,Kiehl's Clearly Corrective Dark Spot Solution 30ml,2022-02-27,6386.32,58
sp49,South Korea,La Roche-Posay Anthelios Invisible Fluid SPF50+ 20ml,2021-10-17,8340.56,77
sp13,Spain,Murad Brightening Booster 60ml,2020-11-20,7867.2,89
sp106,Indonesia,La Roche-Posay Effaclar Mat Moisturiser 56.7g,2020-01-30,1723.87,17
sp191,Brazil,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 30g,2024-09-09,13076.07,155
sp192,Colombia,COSRX Advanced Snail 96 Mucin Power Essence 75ml,2023-05-23,4020.7,63
sp91,France,Skinceuticals Triple Lipid Restore 2:4:2 50ml,2023-08-23,3799.88,164
sp90,France,The Ordinary Salicylic Acid 2% Solution 340g,2020-07-09,9174.29,150
sp158,Colombia,Bioderma Sensibio Light Soothing Cream 30ml,2021-01-29,9011.84,243
sp24,Brazil,Clinique Take The Day Off Cleansing Balm 100ml,2022-07-26,10344.07,217
sp190,Italy,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 40ml,2024-07-17,8854.07,110
sp111,Thailand,Olay Super Serum 5-in-1 100ml,2020-01-24,1945.56,31
sp53,Germany,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 250ml,2020-05-26,2755.32,37
sp163,Mexico,Neutrogena Bright Boost Gel Cream 30g,2020-08-25,2153.98,80
sp150,United States,Clinique All About Eyes Rich 150ml,2020-06-14,3374.15,77
sp5,United States,Olay Regenerist Collagen Peptide24 Serum 40ml,2022-01-02,2482.46,26
sp170,Philippines,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 60ml,2020-07-10,1122.97,138
sp26,Sweden,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 150ml,2024-07-29,7160.68,126
sp179,France,CeraVe PM Facial Moisturising Lotion 100ml,2021-02-09,3827.52,76
sp49,France,Drunk Elephant C-Firma Fresh Day Serum 56.7g,2024-06-15,11382.18,208
sp51,France,Tatcha The Indigo Overnight Repair Treatment 200ml,2023-03-05,19203.43,191
sp94,Germany,Bioderma Pigmentbio C-Concentrate Brightening Serum 200ml,2020-08-12,28556.24,389
sp4,Chile,First Aid Beauty KP Bump Eraser Body Scrub 56.7g,2021-06-21,4254.22,59
sp195,China,COSRX Ultimate Moisturizing Honey Overnight Mask 250ml,2021-06-11,21383.05,247
sp53,South Korea,Pixi Rose Ceramide Cream 50ml,2021-01-11,12747.26,133
sp195,China,Olay Luminous Whip Face Moisturiser 250ml,2022-12-20,5771.43,70
sp34,Philippines,Drunk Elephant Virgin Marula Luxury Face Oil 60ml,2021-02-03,566.26,41
sp37,United States,Sunday Riley Ice Ceramide Moisturizing Cream 56.7g,2021-04-11,3207.89,54
sp96,China,Skinceuticals Triple Lipid Restore 2:4:2 150ml,2023-06-03,7256.24,76
sp58,France,Bioderma Pigmentbio C-Concentrate Brightening Serum 40ml,2021-10-14,3985.3,124
sp153,Germany,Avène Cleanance Expert Emulsion 60ml,2022-12-06,19748.8,204
sp85,Spain,Skinceuticals Triple Lipid Restore 2:4:2 60ml,2023-11-13,7235.69,103
sp8,Netherlands,First Aid Beauty Ultra Repair Firming Collagen Cream 340g,2024-07-31,1098.23,103
sp82,Mexico,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 20ml,2020-03-26,9234.32,294
sp9,India,Clinique Take The Day Off Cleansing Balm 75ml,2020-10-07,21808.84,291
sp170,Italy,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 100ml,2024-04-14,1531.49,112
sp67,Argentina,Pixi Overnight Glow Serum 100ml,2023-05-31,1202.81,13
sp98,Indonesia,Pixi Overnight Glow Serum 50ml,2024-02-17,4579.12,82
sp143,Sweden,Tatcha The Eye Concentrate 56.7g,2023-04-13,1574.86,127
sp175,South Korea,Kiehl's Clearly Corrective Dark Spot Solution 50ml,2022-10-28,3733.62,128
sp151,India,Drunk Elephant A-Passioni Retinol Cream 30g,2020-09-23,6887.76,149
sp28,Germany,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 340g,2020-01-26,4584.14,128
sp137,Colombia,Murad AHA/BHA Exfoliating Cleanser 100ml,2020-11-06,3715.23,112
sp94,France,Avène XeraCalm A.D Lipid-Replenishing Cream 100ml,2023-04-04,6691.3,88
sp116,United Kingdom,Paula's Choice CLINICAL 1% Retinol Treatment 340g,2020-07-25,24825.16,346
sp49,Italy,Avène Eau Thermale Spray 30g,2022-03-16,136.17,18
sp126,Chile,Tatcha The Rice Polish Foaming Enzyme Powder 125ml,2020-02-21,9287.43,105
sp4,Canada,La Roche-Posay Hyalu B5 Serum 30ml,2022-11-10,306.64,26
sp84,India,Tatcha The Silk Cream 100ml,2021-03-16,8718.81,133
sp112,Spain,Olay Regenerist Micro-Sculpting Cream 340g,2024-08-18,9598.12,115
sp77,China,The Ordinary Retinol 0.5% in Squalane 250ml,2023-03-16,11503.93,116
sp182,Netherlands,CeraVe Hydrating Cleanser 100ml,2024-05-19,6104.58,72
sp67,India,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 125ml,2024-08-26,3670.33,46
sp190,Germany,Bioderma Hydrabio Gel-Crème 60ml,2020-05-15,2431.1,47
sp29,Sweden,COSRX Full Fit Propolis Light Cream 250ml,2024-02-18,29668.79,276
sp157,Singapore,CeraVe Healing Ointment 60ml,2023-11-19,1591.9,69
sp144,Indonesia,Tatcha The Essence Plump Skin Softener 20ml,2020-10-17,4165.15,51
sp64,Japan,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 340g,2020-09-08,565.73,16
sp123,Brazil,Tatcha The Water Cream 30g,2024-09-11,12774.15,264
sp14,Philippines,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 30ml,2020-10-05,689.25,107
sp162,India,La Roche-Posay Anthelios Invisible Fluid SPF50+ 20ml,2021-06-11,2086.09,19
sp112,Canada,La Roche-Posay Toleriane Hydrating Gentle Cleanser 15ml,2022-08-05,596.41,79
sp184,Singapore,The Ordinary Niacinamide 10% + Zinc 1% 30g,2022-03-03,5768.44,66
sp42,France,Bioderma Sensibio Light Soothing Cream 40ml,2024-11-30,7006.24,87
sp191,China,CeraVe Renewing SA Cream 200ml,2024-12-16,2064.37,41
sp97,Germany,Murad Rapid Resurgence Eye Lift 100ml,2020-06-30,944.7,133
sp174,Spain,Kiehl's Rare Earth Deep Pore Cleansing Masque 15ml,2024-02-11,3988.32,101
sp8,South Korea,First Aid Beauty Ultra Repair Cream 60ml,2020-09-10,1619.04,67
sp47,Indonesia,Bioderma Sensibio Light Soothing Cream 56.7g,2023-05-08,1297.3,32
sp136,Thailand,Estée Lauder Advanced Night Repair Serum 56.7g,2021-06-03,4183.81,293
sp196,Indonesia,Sunday Riley Tidal Brightening Enzyme Water Cream 200ml,2020-04-04,3628.83,45
sp17,Sweden,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 100ml,2022-10-06,6538.84,285
sp166,India,Tatcha The Silk Cream 30ml,2021-11-04,4601.71,107
sp3,Philippines,Bioderma Hydrabio Gel-Crème 30g,2020-02-03,18408.52,272
sp189,Italy,Bioderma Hydrabio Gel-Crème 125ml,2020-12-07,5211.22,156
sp153,Canada,La Roche-Posay Lipikar Balm AP+ 15ml,2021-04-25,263.06,48
sp52,Poland,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 50ml,2023-03-25,5368.34,63
sp94,Italy,First Aid Beauty KP Bump Eraser Body Scrub 56.7g,2021-06-17,26935.42,270
sp45,Colombia,La Roche-Posay Anthelios Invisible Fluid SPF50+ 30g,2023-07-17,2719.48,381
sp14,Chile,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 75ml,2022-06-26,5898.44,86
sp164,Singapore,First Aid Beauty Ultra Repair Firming Collagen Cream 200ml,2022-11-27,2685.82,98
sp117,Germany,La Roche-Posay Toleriane Double Repair Moisturiser 200ml,2024-11-09,271.15,55
sp114,Colombia,Tatcha The Water Cream 30g,2020-02-12,4593.23,132
sp191,South Korea,Avène Hydrance Rich Rehydrating Cream 125ml,2021-12-02,415.35,12
sp46,Chile,Tatcha The Indigo Overnight Repair Treatment 125ml,2024-11-21,297.31,82
sp1,Netherlands,Avène Antirougeurs Jour Redness Relief Cream 56.7g,2023-02-08,746.24,22
sp183,Mexico,Kiehl's Calendula Serum-Infused Water Cream 150ml,2023-07-27,972.66,15
sp158,Thailand,Clinique Repairwear Laser Focus Eye Cream 200ml,2022-01-18,256.88,20
sp30,Spain,First Aid Beauty Ultra Repair Cream 125ml,2021-09-10,9470.82,91
sp138,France,Avène Antirougeurs Jour Redness Relief Cream 125ml,2024-03-31,4045.67,40
sp10,Indonesia,Pixi Vitamin-C Juice Cleanser 30g,2020-09-25,2299.4,103
sp188,Sweden,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 200ml,2022-11-20,395.27,21
sp54,Poland,COSRX Ultimate Moisturizing Honey Overnight Mask 250ml,2022-11-03,2042.22,19
sp142,Singapore,Murad Vita-C Glycolic Brightening Serum 20ml,2022-06-09,14919.82,145
sp89,Italy,Clinique Repairwear Laser Focus Eye Cream 340g,2021-01-07,11168.99,150
sp66,Thailand,Tatcha The Indigo Overnight Repair Treatment 30g,2024-03-07,1147.39,15
sp29,Sweden,Drunk Elephant A-Passioni Retinol Cream 40ml,2022-11-16,682.69,26
sp52,Colombia,Kiehl's Powerful-Strength Line-Reducing Concentrate 15ml,2021-11-27,4702.63,103
sp155,Brazil,Bioderma Pigmentbio C-Concentrate Brightening Serum 30g,2022-07-20,2435.13,118
sp199,India,Bioderma Sensibio H2O Micellar Water 250ml,2022-04-01,641.19,88
sp74,Poland,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 56.7g,2022-03-21,10989.42,134
sp191,China,First Aid Beauty Ultra Repair Firming Collagen Cream 30ml,2024-12-21,13556.83,139
sp72,Philippines,La Roche-Posay Anthelios Invisible Fluid SPF50+ 250ml,2020-10-24,29439.96,334
sp75,France,La Roche-Posay Anthelios Invisible Fluid SPF50+ 75ml,2024-11-24,8129.18,93
sp134,India,REN Clean Skincare Clean Screen Mineral SPF30 40ml,2023-04-11,1239.49,12
sp74,India,CeraVe AM Facial Moisturising Lotion SPF25 30ml,2023-12-15,922.13,123
sp114,Italy,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 250ml,2023-07-02,9615.14,142
sp40,India,Avène Antirougeurs Jour Redness Relief Cream 125ml,2020-09-15,4501.19,48
sp193,United States,Kiehl's Midnight Recovery Concentrate 40ml,2024-04-04,2474.12,77
sp141,Indonesia,Olay Vitamin C + Peptide 24 Face Moisturizer 125ml,2024-10-06,2418.72,111
sp182,Japan,Bioderma Cicabio Arnica+ Repairing Cream 20ml,2023-02-04,41815.44,439
sp139,Poland,Bioderma Nodé Detox Shampoo 100ml,2020-05-04,2595.33,46
sp184,Netherlands,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 40ml,2021-09-11,398.17,57
sp8,Italy,Pixi Overnight Glow Serum 40ml,2022-09-04,7402.24,136
sp127,Colombia,Bioderma Sensibio H2O Micellar Water 60ml,2024-07-16,2439.5,65
sp46,Thailand,Clinique Repairwear Laser Focus Eye Cream 150ml,2021-01-25,12829.9,261
sp172,Indonesia,CeraVe Renewing SA Cream 50ml,2020-08-12,7834.86,132
sp82,Thailand,COSRX Ultimate Moisturizing Honey Overnight Mask 60ml,2020-02-06,2796.65,148
sp198,Brazil,Pixi Skintreats Rose Caviar Eye Cream 15ml,2022-06-22,2814.51,70
sp187,Thailand,Drunk Elephant Lala Retro Whipped Cream 250ml,2020-06-08,992.4,46
sp125,France,Drunk Elephant Protini Polypeptide Cream 125ml,2023-12-22,2161.86,19
sp102,Spain,COSRX Advanced Snail 92 All in One Cream 340g,2022-08-26,4378.86,88
sp136,China,REN Clean Skincare Clean Screen Mineral SPF30 40ml,2021-06-17,2791.34,32
sp8,Thailand,COSRX Advanced Snail 92 All in One Cream 125ml,2024-10-25,9806.34,113
sp101,Indonesia,Bioderma Atoderm Intensive Baume 20ml,2023-04-20,8857.47,135
sp165,Italy,First Aid Beauty Ultra Repair Cream 200ml,2022-01-25,7017.93,108
sp168,Spain,COSRX Oil-Free Ultra-Moisturizing Lotion 40ml,2023-04-30,3577.46,60
sp30,Italy,Avène Hydrance Rich Rehydrating Cream 20ml,2021-03-31,6260.39,122
sp121,Germany,Bioderma Hydrabio Gel-Crème 50ml,2022-04-19,5278.45,112
sp198,United Kingdom,Drunk Elephant B-Hydra Intensive Hydration Serum 30ml,2020-04-07,350.36,59
sp83,India,Estée Lauder Revitalizing Supreme+ Moisturizer 15ml,2020-04-07,4867.23,129
sp67,Singapore,Estée Lauder Revitalizing Supreme+ Moisturizer 250ml,2023-05-20,4210.97,148
sp173,Canada,CeraVe Eye Repair Cream 150ml,2024-12-13,10085.09,179
sp94,Indonesia,Neutrogena Oil-Free Acne Wash 75ml,2020-12-05,3834.83,110
sp22,China,Avène Cleanance Expert Emulsion 15ml,2021-01-01,4094.38,104
sp120,Singapore,Olay Regenerist Micro-Sculpting Cream 125ml,2021-09-05,2186.64,133
sp83,Spain,The Ordinary Niacinamide 10% + Zinc 1% 75ml,2021-03-04,13761.66,167
sp41,Germany,Paula's Choice CLINICAL 1% Retinol Treatment 200ml,2021-10-22,5350.65,57
sp56,Italy,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 200ml,2022-08-20,6206.94,129
sp115,Spain,COSRX Oil-Free Ultra-Moisturizing Lotion 56.7g,2022-03-27,2518.66,119
sp196,Singapore,Estée Lauder Revitalizing Supreme+ Moisturizer 60ml,2021-10-08,5417.99,75
sp112,Netherlands,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 15ml,2021-06-12,287.68,17
sp44,Chile,Sunday Riley Saturn Sulfur Acne Treatment Mask 200ml,2020-05-17,21032.57,203
sp32,Singapore,Kiehl's Super Multi-Corrective Anti-Aging Face & Neck Cream 60ml,2022-06-14,276.21,16
sp110,Netherlands,The Ordinary Retinol 0.5% in Squalane 340g,2020-05-18,1172.94,115
sp96,Indonesia,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 340g,2021-08-19,12003.08,119
sp76,Argentina,Clinique Take The Day Off Cleansing Balm 150ml,2024-04-20,33223.01,395
sp139,Brazil,CeraVe PM Facial Moisturising Lotion 125ml,2021-08-18,11024.99,96
sp164,South Korea,REN Clean Skincare Perfect Canvas Clean Primer 50ml,2022-02-19,28391.31,317
sp118,Spain,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 40ml,2022-04-17,11841.94,147
sp78,Thailand,First Aid Beauty Ultra Repair Cream 250ml,2024-12-19,12346.79,127
sp23,France,Skinceuticals Physical Fusion UV Defense SPF 50 340g,2020-01-19,7117.75,77
sp31,China,CeraVe Skin Renewing Night Cream 40ml,2024-03-19,8196.04,93
sp195,Germany,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 56.7g,2020-06-01,318.33,89
sp171,Japan,Clinique Smart Night Custom-Repair Moisturiser 60ml,2022-04-24,271.27,43
sp17,Spain,Paula's Choice BOOST 10% Niacinamide Booster 30ml,2022-11-01,894.74,247
sp139,Canada,Olay Regenerist Micro-Sculpting Cream 20ml,2020-04-05,1634.32,20
sp174,United Kingdom,The Ordinary Niacinamide 10% + Zinc 1% 60ml,2023-01-11,6056.12,65
sp20,France,Avène Hydrance Rich Rehydrating Cream 100ml,2020-02-19,7575.71,113
sp92,Sweden,CeraVe Healing Ointment 340g,2021-03-23,1687.96,106
sp102,Spain,Paula's Choice CLINICAL 1% Retinol Treatment 30g,2021-01-10,2357.74,55
sp135,Netherlands,Clinique Repairwear Laser Focus Eye Cream 100ml,2023-02-05,5624.64,91
sp33,Indonesia,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 200ml,2023-02-13,6649.16,75
sp166,Spain,Kiehl's Calendula Serum-Infused Water Cream 125ml,2023-01-02,10852.42,130
sp57,Sweden,Tatcha The Eye Concentrate 30g,2024-07-03,6367.25,59
sp16,Sweden,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 125ml,2024-04-22,7183.96,125
sp4,United States,La Roche-Posay Effaclar Mat Moisturiser 125ml,2020-03-19,32952.11,301
sp148,United Kingdom,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 100ml,2021-09-01,3810.75,367
sp23,Spain,Tatcha The Essence Plump Skin Softener 200ml,2024-04-25,6522.61,74
sp118,United States,Pixi Rose Ceramide Cream 125ml,2021-01-03,9128.13,127
sp112,Mexico,Skinceuticals Phyto Corrective Gel 30g,2022-06-20,7588.81,65
sp66,France,Skinceuticals B5 Gel Hydrating Serum 50ml,2024-10-17,3617.49,55
sp63,Japan,Neutrogena Norwegian Formula Face Cream 125ml,2022-12-27,2977.99,136
sp173,Colombia,Sunday Riley UFO Ultra-Clarifying Face Oil 100ml,2021-03-05,1792.49,25
sp155,Italy,REN Clean Skincare Radiance Perfection Serum 50ml,2024-08-30,16968.98,278
